,Animal,Backing,Cyclist,Entering/Exiting,Hazardous Materials,Head-on Collision,Hit in Rear,Hit Other in Rear,Hit Parked Vehicle,Hit Stationary Object,Hit While Parked,Intersection ,Jacknife,Moving Object,Parking Lot,Rollaway,Sideswipe,,,,,,,,,,,,,,,,,,
Parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a. Doesn't hit curb,4,4,4,2,8,4,3,3,3,3,4,8,8,8,4,8,4,,,,,,,,,,,,,,,,,,
b. Curbs wheels,3,3,3,8,8,2,2,4,2,2,4,3,4,4,4,1,3,,,,,,,,,,,,,,,,,,
c. chock wheels (if required),3,3,3,8,8,2,2,4,2,2,4,3,4,4,4,1,3,,,,,,,,,,,,,,,,,,
d. Park brake applied,3,3,3,8,8,2,2,4,2,2,4,3,4,4,4,1,3,,,,,,,,,,,,,,,,,,
e. Trans in neutral,3,3,3,3,8,3,4,2,4,2,8,3,8,4,3,4,4,,,,,,,,,,,,,,,,,,
f. Engine off - Takes keys,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,,,,,,,
Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a. Proper gear up or down,3,4,3,3,8,1,2,1,2,2,8,3,2,2,4,8,2,,,,,,,,,,,,,,,,,,
b. Avoids rolling back H/V,4,4,3,3,8,8,2,8,3,3,4,8,8,4,3,8,3,,,,,,,,,,,,,,,,,,
c. Test brakes prior,4,4,3,3,8,1,3,1,1,1,8,3,1,3,8,1,1,,,,,,,,,,,,,,,,,,
Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a.  Sufficient space to pass,4,4,3,8,8,1,2,1,3,3,8,3,2,2,3,8,4,,,,,,,,,,,,,,,,,,
b. Signals properly,8,4,3,8,8,1,1,3,4,4,8,4,3,8,3,8,3,,,,,,,,,,,,,,,,,,
c. Checks mirrors,4,4,3,8,8,1,1,2,4,4,8,3,3,4,1,8,2,,,,,,,,,,,,,,,,,,
Railroad Crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a. Signal & Activate 4-ways,4,4,3,8,4,8,1,4,4,4,2,2,8,3,8,8,3,,,,,,,,,,,,,,,,,,
b. Stop 10' to 50' prior,4,4,4,8,4,8,4,4,4,4,4,2,8,3,8,8,4,,,,,,,,,,,,,,,,,,
c. Open window & door,4,8,4,8,4,8,4,4,8,4,8,2,8,3,8,8,4,,,,,,,,,,,,,,,,,,
"Look, Listen & Clear",4,8,4,8,4,8,4,4,8,4,8,2,8,3,8,8,4,,,,,,,,,,,,,,,,,,
e. Signal & merge into traffic,4,4,4,8,4,8,2,2,4,4,8,2,8,3,8,8,1,,,,,,,,,,,,,,,,,,
General safety and DOT adherence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a. Avoids crowding effect,3,3,3,3,8,2,2,3,1,1,8,3,4,4,3,8,1,,,,,,,,,,,,,,,,,,
b. Stays to the right / correct lane,4,4,3,4,8,1,4,4,2,2,8,3,4,4,3,8,1,,,,,,,,,,,,,,,,,,
c. Aware of Hours of Service,3,1,2,1,8,1,2,1,1,1,4,3,1,2,1,1,1,,,,,,,,,,,,,,,,,,
d. Proper use of mirrors,4,1,2,1,8,2,2,3,1,1,4,4,4,4,1,8,1,,,,,,,,,,,,,,,,,,
e. Self confident not complacent ,4,4,4,4,8,3,4,4,4,4,4,3,3,4,3,3,2,,,,,,,,,,,,,,,,,,
f. Checks instruments,4,4,4,4,2,3,3,3,8,3,8,3,3,3,3,4,3,,,,,,,,,,,,,,,,,,
g. Uses horn properly,3,2,3,3,8,2,4,4,4,4,8,3,3,4,2,8,3,,,,,,,,,,,,,,,,,,
h. Maintains DOT log,8,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,,,,,,,
i. Drives defensively,2,1,2,1,4,1,1,1,1,1,4,3,2,2,1,2,1,,,,,,,,,,,,,,,,,,
j. Company Haz Mat protocol,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,
k. Air cans/lines free of Moisture ,4,3,4,4,8,2,1,2,3,3,4,3,1,4,4,4,3,,,,,,,,,,,,,,,,,,
l. Avoid distractions while driving,3,1,3,1,8,1,1,1,1,1,4,3,1,2,1,2,1,,,,,,,,,,,,,,,,,,
M. Works safely to avoid injuries,8,4,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,
